Number,GROWTH,FITNESS,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens,
0,2.5,0.7,0,0,0,0,300,0,0,0,0,300,300,300,
1,2.5,0.7,0,0,0,0,300,0,0,0,0,300,300,300,
2,2.5,0.7,0,0,0,0,300,0,0,0,0,300,300,300,
3,2.5,0.7,0,0,0,0,300,0,0,0,0,300,300,300,
4,2.5,0.7,0,0,0,0,300,0,0,0,0,300,300,300,
5,2.5,0.7,0,0,0,0,300,0,0,0,0,300,300,300,
6,2.5,0.7,0,0,0,0,300,0,0,0,0,300,300,300,
7,2.5,0.7,0,0,0,0,300,0,0,0,0,300,300,300,
8,2.5,0.7,0,0,0,0,300,0,0,0,0,300,300,300,
9,2.5,0.7,0,0,0,0,300,0,0,0,0,300,300,300,
10,2.5,0.7,0,0,0,0,300,0,0,0,0,300,300,300,
11,2.5,0.7,0,0,0,0,300,0,0,0,0,300,300,300,
12,2.5,0.7,0,0,0,0,300,0,0,0,0,300,300,300,
13,2.5,0.7,0,0,0,0,300,0,0,0,0,300,300,300,
14,2.5,0.7,0,0,0,0,300,0,0,0,0,300,300,300,
15,2.5,0.7,0,0,0,0,300,0,0,0,0,300,300,300,
16,2.5,0.7,0,0,0,0,300,0,0,0,0,300,300,300,
17,2.5,0.7,0,0,0,0,300,0,0,0,0,300,300,300,
18,2.5,0.7,0,0,0,0,300,0,0,0,0,300,300,300,
19,2.5,0.7,0,0,0,0,300,0,0,0,0,300,300,300,
0,2.5,0.75,0,0,0,0,300,0,0,0,0,300,300,300,
1,2.5,0.75,0,0,0,0,300,0,0,0,0,300,300,300,
2,2.5,0.75,0,0,0,0,300,0,0,0,0,300,300,300,
3,2.5,0.75,0,0,0,0,300,0,0,0,0,300,300,300,
4,2.5,0.75,0,0,0,0,300,0,0,0,0,300,300,300,
5,2.5,0.75,0,0,0,0,300,0,0,0,0,300,300,300,
6,2.5,0.75,0,0,0,0,300,0,0,0,0,300,300,300,
7,2.5,0.75,0,0,0,0,300,0,0,0,0,300,300,300,
8,2.5,0.75,0,0,0,0,300,0,0,0,0,300,300,300,
9,2.5,0.75,0,0,0,0,300,0,0,0,0,300,300,300,
10,2.5,0.75,0,0,0,0,300,0,0,0,0,300,300,300,
11,2.5,0.75,0,0,0,0,300,0,0,0,0,300,300,300,
12,2.5,0.75,0,0,0,0,300,0,0,0,0,300,300,300,
13,2.5,0.75,0,0,0,0,300,0,0,0,0,300,300,300,
14,2.5,0.75,0,0,0,0,300,0,0,0,0,300,300,300,
15,2.5,0.75,0,0,0,0,300,0,0,0,0,300,300,300,
16,2.5,0.75,0,0,0,0,300,0,0,0,0,300,300,300,
17,2.5,0.75,0,0,0,0,300,0,0,0,0,300,300,300,
18,2.5,0.75,0,0,0,0,300,0,0,0,0,300,300,300,
19,2.5,0.75,0,0,0,0,300,0,0,0,0,300,300,300,
0,2.5,0.8,0,0,0,0,300,0,0,0,0,300,300,300,
1,2.5,0.8,0,0,0,0,300,0,0,0,0,300,300,300,
2,2.5,0.8,0,0,0,0,300,0,0,0,0,300,300,300,
3,2.5,0.8,0,0,0,0,300,0,0,0,0,300,300,300,
4,2.5,0.8,0,0,0,0,300,0,0,0,0,300,300,300,
5,2.5,0.8,0,0,0,0,300,0,0,0,0,300,300,300,
6,2.5,0.8,0,0,0,0,300,0,0,0,0,300,300,300,
7,2.5,0.8,0,0,0,0,300,0,0,0,0,300,300,300,
8,2.5,0.8,0,0,0,0,300,0,0,0,0,300,300,300,
9,2.5,0.8,0,0,0,0,300,0,0,0,0,300,300,300,
10,2.5,0.8,0,0,0,0,300,0,0,0,0,300,300,300,
11,2.5,0.8,0,0,0,0,300,0,0,0,0,300,300,300,
12,2.5,0.8,0,0,0,0,300,0,0,0,0,300,300,300,
13,2.5,0.8,0,0,0,0,300,0,0,0,0,300,300,300,
14,2.5,0.8,0,0,0,0,300,0,0,0,0,300,300,300,
15,2.5,0.8,0,0,0,0,300,0,0,0,0,300,300,300,
16,2.5,0.8,0,0,0,0,300,0,0,0,0,300,300,300,
17,2.5,0.8,0,0,0,0,300,0,0,0,0,300,300,300,
18,2.5,0.8,0,0,0,0,300,0,0,0,0,300,300,300,
19,2.5,0.8,0,0,0,0,300,0,0,0,0,300,300,300,
0,2.5,0.85,147,0.494019,148,0.52118,147.2202054,0,0,0,0,300,300,300,
1,2.5,0.85,122,0.473856,123,0.508651,122.7513723,0,0,0,0,300,300,300,
2,2.5,0.85,114,0.441957,115,0.501261,114.9787367,0,0,0,0,300,300,300,
3,2.5,0.85,153,0.49604,154,0.502178,153.6451613,0,0,0,0,300,300,300,
